                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7109,                0.33397,                0.96421,                0.99664,                0.99829,                0.99335,                0.82862,                0.73253,                0.26397,                 0.9639,             0.00034108,             0.00034108,             0.00034108
                     37,                0.71439,                0.33348,                0.96546,                0.99632,                0.99829,                0.99393,                0.82193,                0.73414,                0.25564,                0.96647,             0.00031908,             0.00031908,             0.00031908
                     38,                0.71222,                0.33157,                0.96647,                0.99585,                0.99829,                0.99311,                0.82677,                0.72912,                0.25704,                0.96532,             0.00029708,             0.00029708,             0.00029708
                     39,                0.71174,                0.33279,                0.96646,                0.99659,                0.99829,                0.99319,                0.82369,                0.72998,                0.25837,                0.96515,             0.00027508,             0.00027508,             0.00027508
                     40,                0.70387,                0.32997,                0.95703,                0.99661,                0.99829,                0.99479,                 0.8267,                0.73258,                0.25684,                0.96411,             0.00025309,             0.00025309,             0.00025309
                     41,                0.65545,                  0.269,                0.94983,                0.99626,                0.99829,                0.99428,                0.82559,                0.72929,                0.26454,                0.96275,             0.00023109,             0.00023109,             0.00023109
                     42,                0.65851,                0.27355,                0.94063,                0.99637,                0.99829,                0.99351,                0.82639,                0.73419,                0.27196,                0.96462,             0.00020909,             0.00020909,             0.00020909
                     43,                0.65505,                0.27711,                0.94422,                0.99636,                0.99829,                0.99247,                0.82251,                 0.7399,                0.27311,                0.96678,             0.00018709,             0.00018709,             0.00018709
                     44,                0.66022,                 0.2712,                0.94482,                0.99637,                0.99829,                0.99303,                0.82695,                 0.7319,                0.25953,                0.96406,             0.00016509,             0.00016509,             0.00016509
                     45,                0.64924,                0.26557,                  0.936,                0.99663,                0.99829,                0.99417,                 0.8242,                0.73328,                0.25922,                 0.9635,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.6455,                0.26009,                0.93893,                0.99626,                0.99829,                0.99383,                0.81792,                0.74428,                0.25882,                0.96719,              0.0001211,              0.0001211,              0.0001211
                     47,                0.64193,                0.25634,                0.93843,                0.99623,                0.99829,                0.99343,                0.82821,                0.73067,                0.25087,                0.96167,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.64257,                0.25118,                0.94487,                0.99648,                0.99829,                0.99364,                0.83118,                 0.7237,                0.24734,                0.95853,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.63367,                0.25146,                0.93715,                0.99658,                0.99829,                0.99375,                0.82603,                0.72529,                0.24371,                0.96076,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.63714,                0.24762,                0.93811,                0.99632,                0.99829,                0.99324,                 0.8254,                0.71943,                0.24318,                0.95735,             3.3108e-05,             3.3108e-05,             3.3108e-05
